290,分析画面,流入分析,総席数,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.customers),-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,[外部]ZTOTAL.customers,-,ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 流入分析.総席数,スキーマ検証済,-,総席数=客数ではなく店舗マスタから取得すべき,店舗マスタの席数を確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
291,分析画面,流入分析,総組数,L0,C,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,COUNT伝票,COUNT(TTOTAL.receipt_no),-,t_totals.receipt_no,TTOTAL.receipt_no,POS売上（伝票単位）,[外部]TTOTAL.receipt_no,流入分析.回転数,TTOTAL.receipt_no → t_totals.receipt_no → 流入分析.総組数,外部連携検証済,データソース: POS（売上・客数）,TTOTALは伝票単位データで組数を正確に把握可能,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
292,分析画面,流入分析,総卓数,L2,D,-,店舗マスタ（設定）,マスタ参照表示,マスタから取得して表示,マスタ参照,店舗マスタ.total_tables,-,shops.total_tables,-,-,[マスタ]shops.total_tables,流入分析.回転数,shops.total_tables → 流入分析.総卓数,設定/入力検証済,データソース: 店舗マスタ（設定）,店舗マスタに総卓数カラムがあるか不明,店舗マスタのスキーマを確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
293,分析画面,流入分析,回転数,L4a,C,画面内,計算項目,外部連携×ラクミー設定マスタ,POS売上とラクミー店舗マスタの組合せ,組数÷卓数,流入分析.総組数 ÷ 流入分析.総卓数,-,"t_totals.receipt_no, shops.total_tables",TTOTAL.receipt_no,POS売上（伝票単位）,"流入分析.総組数, 流入分析.総卓数",流入分析.平均回転数,TTOTAL.receipt_no → t_totals.receipt_no / shops.total_tables → 流入分析.回転数,AI推測,組数÷卓数から回転数を算出と推測,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
294,分析画面,流入分析,予約売上合計,L4a,C,画面間,計算項目,複数種類混在,POS売上と演算結果の組合せ,SUM予約,SUM(当月実績.売上（税抜）) WHERE 予約 = true,-,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,当月実績.売上（税抜）,流入分析.ウォークイン売上合計,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 流入分析.予約売上合計,スキーマ検証済,-,予約フラグの判定方法が不明,予約連携データの構造を確認必要,分析画面,既存指標,実画面に表示されている指標（分析画面）。
295,分析画面,流入分析,ウォークイン売上合計,L1,C,画面間,計算項目,演算×外部連携,POS売上と演算結果の組合せ,総売上-予約売上,予実対比.総売上 - 流入分析.予約売上合計,流入分析.予約売上合計,head_office_connected_service_sales_logs.sales_excluded,ZTOTAL.sales_excluded,POS売上（日別集計）,"流入分析.予約売上合計, 予実対比.総売上",-,ZTOTAL.sales_excluded → head_office_connected_service_sales_logs.sales_excluded → 流入分析.予約売上合計 → 流入分析.ウォークイン売上合計,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
296,分析画面,流入分析,予約客数トレンド,L1,A,画面内,計算項目,外部連携×外部連携,予約システム内の複数データ組合せ,期間集計トレンド計算,流入分析.予約客数 期間集計トレンド,-,reservations.customers,予約連携.customers,-,流入分析.予約客数,-,予約連携.customers → reservations.customers → 流入分析.予約客数トレンド,AI推測,予約客数のトレンド表示と推測,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
297,分析画面,流入分析,ウォークイン客数トレンド,L4b,A,画面内,計算項目,演算×演算,複数の演算結果の組合せ,期間集計トレンド計算,流入分析.ウォークイン客数 期間集計トレンド,流入分析.ウォークイン客数,-,-,-,流入分析.ウォークイン客数,-,流入分析.ウォークイン客数 → 流入分析.ウォークイン客数トレンド,演算検証済,インプット元: 流入分析.ウォークイン客数,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
298,分析画面,流入分析,平均回転数,L4b,C,画面内,計算項目,演算×演算,複数の演算結果の組合せ,AVG回転数,AVG(流入分析.回転数),流入分析.回転数,-,-,-,流入分析.回転数,-,流入分析.回転数 → 流入分析.平均回転数,演算検証済,インプット元: 流入分析.回転数,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
299,分析画面,流入分析,平均テーブル回転数,L4b,C,画面内,計算項目,演算×演算,複数の演算結果の組合せ,AVGテーブル回転数,AVG(流入分析.テーブル回転数),流入分析.テーブル回転数,-,-,-,流入分析.テーブル回転数,-,流入分析.テーブル回転数 → 流入分析.平均テーブル回転数,演算検証済,インプット元: 流入分析.テーブル回転数,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
300,分析画面,流入分析,客数,L0,A,-,POS（売上・客数）,外部連携単独,POSデータから単独取得,SUM,SUM(ZTOTAL.customers),-,head_office_connected_service_sales_logs.customers,ZTOTAL.customers,POS売上（日別集計）,[外部]ZTOTAL.customers,-,ZTOTAL.customers → head_office_connected_service_sales_logs.customers → 流入分析.客数,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
301,分析画面,費目別仕入分析,費目,L2,D,-,店舗マスタ（設定）,マスタ参照表示,マスタから取得して表示,費目マスタ,monthly_cost_items.name,-,monthly_cost_items.name,-,-,[マスタ]monthly_cost_items.name,-,monthly_cost_items.name → 費目別仕入分析.費目,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
302,分析画面,費目別仕入分析,金額（税抜）,L3,C,-,計算項目,費用設定参照,費用設定で設定した経費項目を参照,SUM費目別,SUM(monthly_costs.value) GROUP BY cost_item_id,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,費目別仕入分析.比率,monthly_costs.value → 費目別仕入分析.金額税抜,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。
303,分析画面,費目別仕入分析,比率,L4a,C,画面内,計算項目,設定参照×設定参照,複数の費用設定の組合せ,費目÷総仕入×100,費目別仕入分析.金額税抜 ÷ SUM(費目別仕入分析.金額税抜) × 100,-,monthly_costs.value,-,ユーザー入力（費用設定）,-,-,monthly_costs.value → 費目別仕入分析.比率,スキーマ検証済,-,-,-,分析画面,既存指標,実画面に表示されている指標（分析画面）。

■ 一覧表示画面 (186指標 / 16画面)
No,画面タイプ,画面タイトル,指標名,独自指標レベル,経営重要度,演算範囲,データソース区分,指標タイプ,指標タイプ詳細,演算ロジック,演算式詳細,中間画面名.画面指標名,ラクミーテーブル名.カラム名,外部連携テーブル名.テーブル列名,外部連携グループ名,インプット元（画面名.指標名）,アウトプット先（画面名.画面指標名）,データリネージュ（完全版）,判断,AI推測の理由,不明点,改善,画面カテゴリ,指標区分,指標区分の説明
304,一覧表示画面,ラベル一覧（仕入商品リスト）,商品ID,L2,D,-,商品マスタ（設定）,マスタ参照表示,マスタから取得して表示,マスタ参照,infomart_items.id,-,infomart_items.id,-,マスタ参照,-,-,infomart_items.id → ラベル一覧（仕入商品リスト）.商品ID,設定/入力検証済,データソース: 商品マスタ（設定）,-,-,一覧表示画面,一覧表示,ラベルデータの一覧表示
305,一覧表示画面,ラベル一覧（仕入商品リスト）,発注先名,L2,D,-,インフォマート（仕入）,外部データ参照,POS/インフォマート等の外部データを参照表示,参照表示,infomart_transactions.client_name,-,infomart_transactions.client_name,-,インフォマート（仕入）,-,-,infomart_transactions.client_name → ラベル一覧（仕入商品リスト）.発注先名,外部連携検証済,データソース: インフォマート（仕入）,-,-,一覧表示画面,一覧表示,ラベルデータの一覧表示
306,一覧表示画面,ラベル一覧（仕入商品リスト）,商品名,L2,D,-,商品マスタ（設定）,マスタ参照表示,マスタから取得して表示,マスタ参照,infomart_items.name,-,infomart_items.name,-,マスタ参照,-,-,infomart_items.name → ラベル一覧（仕入商品リスト）.商品名,設定/入力検証済,データソース: 商品マスタ（設定）,-,-,一覧表示画面,一覧表示,ラベルデータの一覧表示
307,一覧表示画面,ラベル一覧（仕入商品リスト）,費目名,L2,D,-,費目マスタ（設定）,マスタ参照表示,マスタから取得して表示,マスタ参照,monthly_cost_items.name,-,monthly_cost_items.name,-,マスタ参照,-,-,monthly_cost_items.name → ラベル一覧（仕入商品リスト）.費目名,設定/入力検証済,データソース: 費目マスタ（設定）,-,-,一覧表示画面,一覧表示,ラベルデータの一覧表示
308,一覧表示画面,ラベル一覧（仕入商品リスト）,ラベル名,L2,D,-,ラベルマスタ（設定）,マスタ参照表示,マスタから取得して表示,マスタ参照,item_labels.label_name,-,item_labels.label_name,-,マスタ参照,-,-,item_labels.label_name → ラベル一覧（仕入商品リスト）.ラベル名,設定/入力検証済,データソース: ラベルマスタ（設定）,-,-,一覧表示画面,一覧表示,ラベルデータの一覧表示
309,一覧表示画面,ラベル一覧（売上商品リスト）,発注先ID,L2,D,-,発注先マスタ（設定）,マスタ参照表示,マスタから取得して表示,マスタ参照,infomart_clients.id,-,infomart_clients.id,-,マスタ参照,-,-,infomart_clients.id → ラベル一覧（売上商品リスト）.発注先ID,設定/入力検証済,データソース: 発注先マスタ（設定）,-,-,一覧表示画面,一覧表示,ラベルデータの一覧表示
